candidate,radiator_ft,counterpoise_ft,deployment,ground,conductivity,band,frequency_hz,resistance_ohm,reactance_ohm,raw_swr,minimum_q,inside_empirical_kh1_separator,nec_efficiency
41r-17c,41.0,17.0,20ft,poor,ccs_mid,20m,14050000,161.31,-549.45,40.94218849598975,6.29735269736249,True,0.8747
41r-17c,41.0,17.0,20ft,poor,ccs_mid,17m,18080000,152.63,278.95,13.502433991456725,3.499843584640532,True,0.8964
41r-17c,41.0,17.0,20ft,poor,ccs_mid,15m,21050000,455.94,1004.5,53.47085972847666,7.237395799007046,False,0.907
41r-17c,41.0,17.0,20ft,poor,copper,40m,7050000,70.327,-240.94,18.57285057021228,4.1128734610957745,True,0.935
41r-17c,41.0,17.0,20ft,poor,copper,30m,10120000,451.72,809.26,38.11476699175267,6.085253939251853,True,0.9416
41r-17c,41.0,17.0,20ft,poor,copper,20m,14050000,156.46,-559.27,43.40821234126145,6.4893511971135025,False,0.9331
41r-17c,41.0,17.0,20ft,poor,copper,17m,18080000,145.85,273.54,13.445868245723654,3.4896163931204143,True,0.9451
41r-17c,41.0,17.0,20ft,poor,copper,15m,21050000,434.08,997.0,54.57688761998481,7.313003777764224,False,0.951
41r-17c,41.0,17.0,30ft,average,ccs_mid,40m,7050000,71.084,-223.4,16.10483472066322,3.8030954112547697,True,0.8717
41r-17c,41.0,17.0,30ft,average,ccs_mid,30m,10120000,520.83,831.99,37.06655486157152,5.999794391961242,True,0.8969
41r-17c,41.0,17.0,30ft,average,ccs_mid,20m,14050000,171.64,-563.06,40.64153926102021,6.274937230023613,True,0.8806999999999999
41r-17c,41.0,17.0,30ft,average,ccs_mid,17m,18080000,130.11,272.83,14.358889665753289,3.6116814252783156,True,0.8771
41r-17c,41.0,17.0,30ft,average,ccs_mid,15m,21050000,410.43,1043.2,61.34466276927918,7.761387804541559,False,0.892
41r-17c,41.0,17.0,30ft,average,copper,40m,7050000,67.222,-226.71,17.322361413519538,3.9542744153077596,True,0.9312999999999999
